rule,category,lectures_affected,total_occurrences,proposed
qe-fig-005,figures,273,1115,0
qe-writing-008,writing,237,7044,0
qe-fig-001,figures,224,892,0
qe-fig-008,figures,216,1382,0
qe-writing-001,writing,173,442,0
qe-fig-003,figures,165,630,0
qe-writing-006,writing,146,781,0
qe-math-002,math,122,2129,0
qe-ref-001,references,110,298,0
qe-code-002,code,106,579,0
qe-math-010,math,105,1167,1
qe-writing-004,writing,105,339,0
qe-link-002,links,73,205,0
qe-fig-004,figures,65,185,0
qe-fig-006,figures,60,298,0
qe-math-003,math,46,363,0
qe-fig-002,figures,38,104,0
qe-math-004,math,33,584,0
qe-code-003,code,32,39,0
qe-code-004,code,31,144,0
qe-writing-009,writing,30,61,1
qe-math-011,math,24,86,1
qe-math-001,math,15,29,0
qe-fig-007,figures,13,71,0
qe-link-001,links,12,21,0
qe-fig-009,figures,9,13,0
qe-math-008,math,7,7,0
qe-math-005,math,7,14,0
qe-code-005,code,7,13,0
qe-math-013,math,6,6,1
qe-math-006,math,5,14,0
qe-math-012,math,4,6,1
qe-admon-001,admonitions,4,4,0
qe-fig-010,figures,4,4,0
qe-math-007,math,2,2,0
qe-admon-002,admonitions,1,1,0
qe-admon-003,admonitions,1,2,0
