series,rule,lectures_affected,total_occurrences
lecture-dp,qe-code-002,6,13
lecture-dp,qe-code-003,6,9
lecture-dp,qe-code-004,8,42
lecture-dp,qe-code-005,3,6
lecture-dp,qe-fig-001,31,102
lecture-dp,qe-fig-002,5,15
lecture-dp,qe-fig-003,30,105
lecture-dp,qe-fig-005,42,164
lecture-dp,qe-fig-006,12,47
lecture-dp,qe-fig-008,38,219
lecture-dp,qe-link-002,15,53
lecture-dp,qe-math-001,3,5
lecture-dp,qe-math-002,14,416
lecture-dp,qe-math-003,6,61
lecture-dp,qe-math-004,5,11
lecture-dp,qe-math-005,2,4
lecture-dp,qe-math-006,1,5
lecture-dp,qe-math-007,1,1
lecture-dp,qe-math-008,1,1
lecture-dp,qe-math-010,20,123
lecture-dp,qe-math-011,5,5
lecture-dp,qe-math-013,3,3
lecture-dp,qe-ref-001,20,45
lecture-dp,qe-writing-001,23,45
lecture-dp,qe-writing-004,14,28
lecture-dp,qe-writing-006,22,146
lecture-dp,qe-writing-008,40,1578
lecture-dp,qe-writing-009,4,7
lecture-python-advanced.myst,qe-code-002,14,193
lecture-python-advanced.myst,qe-code-003,6,9
lecture-python-advanced.myst,qe-code-004,4,8
lecture-python-advanced.myst,qe-code-005,1,3
lecture-python-advanced.myst,qe-fig-001,47,215
lecture-python-advanced.myst,qe-fig-002,12,35
lecture-python-advanced.myst,qe-fig-003,36,149
lecture-python-advanced.myst,qe-fig-004,9,20
lecture-python-advanced.myst,qe-fig-005,54,203
lecture-python-advanced.myst,qe-fig-006,15,83
lecture-python-advanced.myst,qe-fig-007,2,13
lecture-python-advanced.myst,qe-fig-008,40,302
lecture-python-advanced.myst,qe-fig-010,3,3
lecture-python-advanced.myst,qe-link-001,3,7
lecture-python-advanced.myst,qe-link-002,26,94
lecture-python-advanced.myst,qe-math-001,1,1
lecture-python-advanced.myst,qe-math-002,20,671
lecture-python-advanced.myst,qe-math-003,15,113
lecture-python-advanced.myst,qe-math-004,6,49
lecture-python-advanced.myst,qe-math-005,1,3
lecture-python-advanced.myst,qe-math-006,1,2
lecture-python-advanced.myst,qe-math-008,1,1
lecture-python-advanced.myst,qe-math-010,33,579
lecture-python-advanced.myst,qe-math-011,18,95
lecture-python-advanced.myst,qe-math-013,2,2
lecture-python-advanced.myst,qe-ref-001,35,93
lecture-python-advanced.myst,qe-writing-001,42,155
lecture-python-advanced.myst,qe-writing-004,24,109
lecture-python-advanced.myst,qe-writing-006,3,3
lecture-python-advanced.myst,qe-writing-008,53,2223
lecture-python-advanced.myst,qe-writing-009,10,26
lecture-python-intro,qe-admon-002,1,1
lecture-python-intro,qe-code-002,10,53
lecture-python-intro,qe-code-003,2,3
lecture-python-intro,qe-code-004,3,12
lecture-python-intro,qe-fig-001,30,91
lecture-python-intro,qe-fig-002,6,16
lecture-python-intro,qe-fig-003,15,36
lecture-python-intro,qe-fig-004,17,72
lecture-python-intro,qe-fig-005,46,174
lecture-python-intro,qe-fig-006,11,40
lecture-python-intro,qe-fig-007,6,43
lecture-python-intro,qe-fig-008,35,217
lecture-python-intro,qe-link-001,2,2
lecture-python-intro,qe-link-002,9,18
lecture-python-intro,qe-math-001,1,2
lecture-python-intro,qe-math-002,4,13
lecture-python-intro,qe-math-003,4,12
lecture-python-intro,qe-math-004,4,15
lecture-python-intro,qe-math-005,1,2
lecture-python-intro,qe-math-010,8,100
lecture-python-intro,qe-math-011,1,1
lecture-python-intro,qe-math-012,2,2
lecture-python-intro,qe-ref-001,15,48
lecture-python-intro,qe-writing-001,30,54
lecture-python-intro,qe-writing-004,18,40
lecture-python-intro,qe-writing-006,13,31
lecture-python-intro,qe-writing-008,39,709
lecture-python-intro,qe-writing-009,1,1
lecture-python-programming,qe-admon-003,1,2
lecture-python-programming,qe-code-003,3,3
lecture-python-programming,qe-code-004,1,10
lecture-python-programming,qe-fig-001,9,22
lecture-python-programming,qe-fig-002,5,15
lecture-python-programming,qe-fig-003,5,11
lecture-python-programming,qe-fig-005,21,128
lecture-python-programming,qe-fig-006,1,5
lecture-python-programming,qe-fig-007,1,1
lecture-python-programming,qe-fig-008,14,63
lecture-python-programming,qe-link-002,3,6
lecture-python-programming,qe-math-001,1,4
lecture-python-programming,qe-math-002,1,3
lecture-python-programming,qe-math-010,3,5
lecture-python-programming,qe-math-012,1,1
lecture-python-programming,qe-writing-001,15,29
lecture-python-programming,qe-writing-004,6,14
lecture-python-programming,qe-writing-006,23,178
lecture-python-programming,qe-writing-008,16,43
lecture-python.myst,qe-code-002,27,441
lecture-python.myst,qe-code-003,8,8
lecture-python.myst,qe-code-004,15,72
lecture-python.myst,qe-code-005,3,4
lecture-python.myst,qe-fig-001,107,462
lecture-python.myst,qe-fig-002,10,23
lecture-python.myst,qe-fig-003,79,329
lecture-python.myst,qe-fig-004,34,97
lecture-python.myst,qe-fig-005,110,446
lecture-python.myst,qe-fig-006,21,123
lecture-python.myst,qe-fig-007,4,14
lecture-python.myst,qe-fig-008,69,393
lecture-python.myst,qe-fig-010,1,1
lecture-python.myst,qe-link-001,7,12
lecture-python.myst,qe-link-002,20,34
lecture-python.myst,qe-math-001,9,16
lecture-python.myst,qe-math-002,24,494
lecture-python.myst,qe-math-003,21,177
lecture-python.myst,qe-math-004,18,509
lecture-python.myst,qe-math-005,3,5
lecture-python.myst,qe-math-006,3,7
lecture-python.myst,qe-math-007,1,1
lecture-python.myst,qe-math-008,1,1
lecture-python.myst,qe-math-010,60,682
lecture-python.myst,qe-math-011,10,33
lecture-python.myst,qe-math-012,1,3
lecture-python.myst,qe-math-013,1,1
lecture-python.myst,qe-ref-001,36,105
lecture-python.myst,qe-writing-001,65,165
lecture-python.myst,qe-writing-004,43,148
lecture-python.myst,qe-writing-006,71,410
lecture-python.myst,qe-writing-008,89,2569
lecture-python.myst,qe-writing-009,15,27
